time,tahoe_cwnd2
0.0,1.0
1.0,2.0
2.0,3.210347
3.0,4.697777
4.0,5.875248
5.0,6.733042
6.0,4.276375
7.0,5.470395999999999
8.0,7.0750280000000005
9.0,8.018267999999999
10.0,1.419763
11.0,3.879220000000001
12.0,5.061547
13.0,6.118415999999999
14.0,5.333673
15.0,6.371441000000001
16.0,6.9646479999999995
17.0,4.190535
18.0,3.463158
19.0,5.239973999999999
20.0,6.584838000000002
21.0,7.634957
22.0,4.769096
23.0,5.987788
24.0,3.4310970000000003
25.0,6.048501
26.0,7.271013999999999
27.0,7.687929
28.0,8.875341
29.0,5.272148
30.0,7.4730419999999995
31.0,4.3114539999999995
32.0,6.783836000000001
33.0,3.6267230000000006
34.0,5.541786000000002
35.0,7.055093000000001
36.0,7.525792
37.0,1.233333
38.0,2.516441
39.0,4.82099
40.0,6.565604000000002
41.0,7.5732479999999995
42.0,4.5488230000000005
43.0,6.332665
44.0,3.048646
45.0,5.159104999999999
46.0,4.535267
47.0,5.628039
48.0,6.236318
49.0,7.248575
50.0,5.329828000000001
51.0,3.198264
52.0,4.795612
53.0,6.733791999999999
54.0,3.966386
55.0,5.237398000000001
56.0,6.479956999999999
57.0,7.816951
58.0,5.128111
59.0,6.024022
60.0,7.884785000000001
61.0,4.428503999999999
62.0,6.695221999999999
63.0,7.448924000000001
64.0,8.44174
65.0,1.3631579999999999
66.0,4.212937000000001
67.0,6.103207000000001
68.0,6.666684999999999
69.0,4.125373000000001
70.0,5.131891
71.0,6.425826000000001
72.0,4.175528000000001
73.0,6.455795999999999
74.0,3.6107240000000003
75.0,5.487638
76.0,6.024566
77.0,6.934147999999999
78.0,4.902562999999999
79.0,3.426811
80.0,5.188166
81.0,6.1458010000000005
82.0,4.302163
83.0,5.870966
84.0,7.103742000000001
85.0,8.075457
86.0,3.923526
87.0,3.079155
88.0,5.242766
89.0,6.692395
90.0,7.760607
91.0,8.059591999999999
92.0,9.216851
93.0,4.325278
94.0,4.431724999999999
95.0,6.0790500000000005
96.0,7.271290000000002
97.0,3.9956540000000005
98.0,5.855343
99.0,7.330102999999999
100.0,6.518862
101.0,1.7820170000000002
102.0,3.7558059999999998
103.0,5.181551999999999
104.0,6.860716000000002
105.0,7.834677999999999
106.0,3.617233
107.0,5.733441000000001
108.0,3.806416
109.0,5.651133999999999
110.0,4.952991
111.0,6.024523
112.0,6.639368
113.0,6.4129950000000004
114.0,4.545958000000001
115.0,3.9921459999999995
116.0,6.054737000000001
117.0,7.160602
118.0,4.354766
119.0,4.568398
120.0,6.002757
121.0,4.960382
122.0,6.558759999999998
123.0,7.198176999999999
124.0,8.431096
125.0,4.874988
126.0,7.102402
127.0,7.827664
128.0,5.002190000000001
129.0,2.961807
130.0,4.942691000000001
131.0,6.488694
132.0,7.009213
133.0,4.394593
134.0,5.4021609999999995
135.0,4.090045999999999
136.0,5.463291999999999
137.0,6.837607
138.0,3.81506
139.0,5.603709
140.0,6.109226
141.0,5.978218
142.0,2.8197629999999996
143.0,4.817253
144.0,5.602391
145.0,6.5716220000000005
146.0,4.702291000000001
147.0,6.266764
148.0,7.496962000000001
149.0,5.935607
150.0,2.685114
151.0,4.4286
152.0,5.776799
153.0,7.132291
154.0,8.161976
155.0,8.461682
156.0,7.022111000000001
157.0,4.347302000000001
158.0,5.376201999999999
159.0,6.608999
160.0,7.661803000000002
161.0,4.359574
162.0,6.139564000000002
163.0,5.222293000000001
164.0,6.523375999999999
165.0,3.9955290000000003
166.0,3.841561
167.0,5.531145
168.0,7.149018000000001
169.0,5.603992
170.0,2.732323
171.0,5.076499
172.0,5.562792
173.0,5.235822000000001
174.0,4.604785
175.0,5.849764
176.0,6.4553389999999995
177.0,5.009394
178.0,3.105058
179.0,5.522542
180.0,6.803474000000001
181.0,6.555968999999999
182.0,4.084186
183.0,5.34487
184.0,6.552576999999999
185.0,5.485182
186.0,7.343374999999999
187.0,7.772437999999999
188.0,8.924790999999999
189.0,4.038098000000001
190.0,6.670705000000001
191.0,4.96129
192.0,6.176146000000001
193.0,3.517997
194.0,5.455857000000002
195.0,6.971873
196.0,7.444761999999999
197.0,3.621173
198.0,2.4805400000000004
199.0,4.587804
200.0,6.361688
201.0,7.358222
202.0,4.328883
203.0,6.124095
204.0,5.368546
205.0,3.942438
206.0,4.193822
207.0,5.344772000000001
208.0,6.039699000000001
209.0,7.0636350000000006
210.0,5.187148
211.0,6.717444
212.0,4.095612
213.0,6.329261
214.0,3.687518
215.0,4.991242
216.0,6.278667999999999
217.0,7.617520999999999
218.0,8.588531
219.0,6.499791999999999
220.0,7.1808250000000005
221.0,4.109057
222.0,6.373797999999999
223.0,7.142213
224.0,8.156181
225.0,2.352198
226.0,4.767173000000001
227.0,6.5418189999999985
228.0,5.838118
229.0,3.5871970000000006
230.0,4.620259
231.0,5.934318000000002
232.0,5.078118
233.0,6.212508
234.0,3.8199610000000006
235.0,4.463661
236.0,5.133668
237.0,6.25098
238.0,5.456523999999999
239.0,4.034655
240.0,4.650798
241.0,6.478378999999999
242.0,4.6859139999999995
243.0,5.023384
244.0,6.546252
245.0,7.648739000000001
246.0,2.3143279999999997
247.0,3.9404960000000004
248.0,5.718452999999999
249.0,7.118809000000001
250.0,8.187681
251.0,7.227562000000001
252.0,8.788784
253.0,2.641632
254.0,5.726967
255.0,6.587157
256.0,7.693492000000001
257.0,4.398587999999999
258.0,6.227873000000001
259.0,6.391293000000001
260.0,4.716005999999999
261.0,2.942943
262.0,3.929719
263.0,5.2543999999999995
264.0,6.894150000000001
265.0,7.818638
266.0,3.540663000000001
267.0,5.412765
268.0,3.642528
269.0,5.422504999999999
270.0,4.756209
271.0,5.830247
272.0,6.445398
273.0,7.437995000000001
274.0,4.283058
275.0,3.4982640000000003
276.0,5.751358
277.0,6.888907999999999
278.0,4.0769720000000005
279.0,5.354498000000001
280.0,6.612446999999999
281.0,7.937721000000001
282.0,5.128111
283.0,6.738057
284.0,7.987015000000001
285.0,4.479271
286.0,6.720046999999999
287.0,7.480334000000001
288.0,8.471100000000002
289.0,2.554558
290.0,4.052017000000001
291.0,6.0816740000000005
292.0,6.595157
293.0,4.015171
294.0,5.014792
295.0,6.288776000000001
296.0,5.486758000000001
297.0,6.040971999999999
298.0,3.0676750000000004
299.0,5.297141999999999
300.0,5.801116
301.0,6.721942
302.0,3.4323229999999993
303.0,4.8610109999999995
304.0,5.980754
305.0,5.806223
306.0,4.146958
307.0,5.9242159999999995
308.0,7.129813
309.0,5.600689
310.0,3.5954120000000005
311.0,4.964108
312.0,6.293309
313.0,6.374930999999999
314.0,7.800331
315.0,8.113654
316.0,6.674681000000001
317.0,4.025337
318.0,6.346641999999999
319.0,7.07856
320.0,8.088800000000003
321.0,3.484058
322.0,5.732916000000001
323.0,4.687246
324.0,6.007043999999999
325.0,3.554446
326.0,4.574145
327.0,5.893676000000001
328.0,7.470468000000001
329.0,7.216047999999999
330.0,1.9838619999999998
331.0,4.660461
332.0,5.26015
333.0,6.2572600000000005
334.0,5.485963
335.0,6.517881
336.0,5.870118000000001
337.0,4.4905349999999995
338.0,3.699649
339.0,5.389925
340.0,6.658557
341.0,7.709287000000001
342.0,4.845356
343.0,6.042748000000001
344.0,3.6310970000000005
345.0,6.178875
346.0,7.298435
347.0,7.687822
348.0,8.837772000000001
349.0,5.247477999999999
350.0,4.976462
351.0,5.895064
352.0,6.130388000000002
353.0,3.2743570000000006
354.0,5.107473000000001
355.0,6.583051
356.0,7.046092999999999
357.0,4.454013000000001
358.0,5.4021609999999995
359.0,4.290045999999999
360.0,5.520352000000001
361.0,6.884964999999999
362.0,3.873583000000001
363.0,5.678789
364.0,6.157076000000001
365.0,7.050558
366.0,3.8474530000000002
367.0,4.443397
368.0,5.366490000000001
369.0,6.58385
370.0,4.692119
371.0,6.239582999999999
372.0,5.027832
373.0,6.022717
374.0,4.012214
375.0,4.070794000000001
376.0,5.675977
377.0,7.124863
378.0,8.142532999999998
379.0,5.975153000000001
380.0,7.897011000000001
381.0,4.435550000000001
382.0,6.734095999999999
383.0,6.175894
384.0,7.638613000000001
385.0,4.316914
386.0,3.626612
387.0,5.939738
388.0,6.5346779999999995
389.0,4.017249
390.0,5.029861000000001
391.0,5.153886
392.0,7.075752000000001
393.0,5.485306
394.0,3.3446529999999997
395.0,5.272815
396.0,5.809092
397.0,6.7665679999999995
398.0,4.7256029999999996
399.0,5.909611
400.0,4.31246
401.0,6.14966
402.0,4.318914
403.0,5.955603999999999
404.0,7.189272000000001
405.0,8.194567000000001
406.0,1.5877459999999999
407.0,3.5999980000000003
408.0,5.379854999999999
409.0,6.719987000000001
410.0,7.753631
411.0,8.090582000000001
412.0,9.227531
413.0,4.372548
414.0,4.098841999999999
415.0,6.089161
416.0,7.186356000000001
417.0,3.890179
418.0,5.732736
419.0,7.218953000000001
420.0,7.644671999999998
421.0,2.624733
422.0,3.1612649999999998
423.0,4.995242
424.0,6.676924000000001
425.0,7.62556
426.0,4.577732999999999
427.0,3.9092249999999993
428.0,4.768136000000001
429.0,4.94211
430.0,4.335450999999999
431.0,5.685133
432.0,6.336418999999999
433.0,7.302299
434.0,2.885598
435.0,5.274617999999999
436.0,6.617848
437.0,6.451943
438.0,3.8097659999999998
439.0,5.277650000000001
440.0,6.496937999999998
441.0,5.2745489999999995
442.0,7.079611
443.0,7.4096779999999995
444.0,8.532493
445.0,3.6863740000000007
446.0,6.299309
447.0,7.051247999999999
448.0,8.056713
449.0,2.235201
450.0,4.877367000000001
451.0,6.522283
452.0,7.018206000000001
453.0,3.0977730000000006
454.0,4.5353639999999995
455.0,5.878842000000001
456.0,4.960926
457.0,6.732072
458.0,3.805409
459.0,5.671839000000001
460.0,4.9324460000000006
461.0,5.963338
462.0,5.418819999999999
463.0,3.9411120000000004
464.0,5.392188
465.0,6.541576999999999
