time,tahoe_packet_loss1
0.0,0.0
1.0,1.0
2.0,1.2
3.0,0.0
4.0,0.3
5.0,1.0
6.0,0.0
7.0,0.6
8.0,0.0
9.0,0.0
10.0,0.7
11.0,0.0
12.0,0.6
13.0,0.0
14.0,0.4
15.0,0.3
16.0,0.6
17.0,0.3
18.0,0.0
19.0,0.1
20.0,0.6
21.0,0.0
22.0,0.7
23.0,0.0
24.0,0.0
25.0,0.6
26.0,0.1
27.0,0.0
28.0,0.6
29.0,0.0
30.0,0.3
31.0,0.1
32.0,0.6
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.7
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.1
43.0,0.0
44.0,0.6
45.0,0.0
46.0,0.1
47.0,0.0
48.0,1.2
49.0,0.3
50.0,0.3
51.0,0.1
52.0,0.6
53.0,0.0
54.0,0.1
55.0,0.5
56.0,0.4
57.0,0.6
58.0,0.1
59.0,0.0
60.0,0.6
61.0,0.0
62.0,0.0
63.0,0.5
64.0,0.7
65.0,0.0
66.0,0.0
67.0,0.0
68.0,0.0
69.0,0.7
70.0,0.0
71.0,0.0
72.0,0.0
73.0,0.0
74.0,0.1
75.0,0.0
76.0,0.6
77.0,0.0
78.0,0.1
79.0,0.0
80.0,0.6
81.0,0.5
82.0,0.3
83.0,0.2
84.0,1.1
85.0,0.4
86.0,0.3
87.0,0.0
88.0,0.1
89.0,0.6
90.0,0.3
91.0,0.2
92.0,0.6
93.0,0.0
94.0,0.0
95.0,0.1
96.0,0.7
97.0,0.3
98.0,0.2
99.0,0.1
100.0,0.0
101.0,0.7
102.0,0.0
103.0,0.1
104.0,0.1
105.0,0.0
106.0,0.3
107.0,0.0
108.0,0.6
109.0,0.0
110.0,0.2
111.0,0.4
112.0,0.8
113.0,0.0
114.0,0.0
115.0,0.1
116.0,0.8
117.0,0.1
118.0,0.1
119.0,0.1
120.0,0.0
121.0,0.6
122.0,0.3
123.0,0.1
124.0,0.7
125.0,0.2
126.0,0.1
127.0,0.1
128.0,0.6
129.0,0.0
130.0,0.1
131.0,0.1
132.0,0.1
133.0,0.9
134.0,0.1
135.0,0.0
136.0,0.0
137.0,0.0
138.0,0.5
139.0,0.5
140.0,0.8
141.0,0.1
142.0,0.1
143.0,0.0
144.0,0.7
145.0,0.6
146.0,0.3
147.0,0.3
148.0,0.7
149.0,0.0
150.0,0.1
151.0,0.0
152.0,0.1
153.0,0.7
154.0,0.6
155.0,0.2
156.0,0.7
157.0,0.0
158.0,0.0
159.0,0.1
160.0,0.7
161.0,0.1
162.0,0.1
163.0,0.2
164.0,0.1
165.0,0.7
166.0,0.0
167.0,0.0
168.0,0.1
169.0,0.2
170.0,0.3
171.0,0.0
172.0,1.1
173.0,0.2
174.0,0.5
175.0,0.4
176.0,0.8
177.0,0.3
178.0,0.2
179.0,0.2
180.0,0.6
181.0,0.2
182.0,0.3
183.0,0.1
184.0,0.1
185.0,0.7
186.0,0.3
187.0,0.1
188.0,0.8
189.0,0.2
190.0,0.0
191.0,0.2
192.0,0.7
193.0,0.1
194.0,0.2
195.0,0.1
196.0,0.0
197.0,0.7
198.0,0.0
199.0,0.1
200.0,0.1
201.0,0.3
202.0,0.5
203.0,0.1
204.0,0.6
205.0,0.0
206.0,0.1
207.0,0.2
208.0,0.7
209.0,0.2
210.0,0.1
211.0,0.1
212.0,0.6
213.0,0.0
214.0,0.2
215.0,0.1
216.0,0.1
217.0,0.8
218.0,0.2
219.0,0.0
220.0,0.6
221.0,0.0
222.0,0.1
223.0,0.2
224.0,0.7
225.0,0.2
226.0,0.1
227.0,0.0
228.0,0.0
229.0,1.1
230.0,0.3
231.0,0.3
232.0,0.3
233.0,0.0
234.0,0.2
235.0,0.0
236.0,1.0
237.0,0.2
238.0,0.3
239.0,0.1
240.0,0.8
241.0,0.1
242.0,0.0
243.0,0.1
244.0,1.0
245.0,0.0
246.0,0.3
247.0,0.1
248.0,0.2
249.0,0.7
250.0,0.1
251.0,0.0
252.0,0.6
253.0,0.1
254.0,0.1
255.0,0.2
256.0,0.8
257.0,0.1
258.0,0.0
259.0,0.0
260.0,0.0
261.0,0.8
262.0,0.5
263.0,0.3
264.0,0.2
265.0,0.5
266.0,0.5
267.0,0.2
268.0,0.6
269.0,0.1
270.0,0.3
271.0,0.4
272.0,0.9
273.0,0.0
274.0,0.0
275.0,0.1
276.0,0.6
277.0,0.2
278.0,0.4
279.0,0.4
280.0,0.1
281.0,0.6
282.0,0.1
283.0,0.0
284.0,0.7
285.0,0.1
286.0,0.1
287.0,0.3
288.0,0.7
289.0,0.0
290.0,0.0
291.0,0.0
292.0,0.3
293.0,1.0
294.0,0.1
295.0,0.2
296.0,0.1
297.0,0.0
298.0,0.1
299.0,0.0
300.0,0.7
301.0,0.2
302.0,0.3
303.0,0.1
304.0,0.6
305.0,0.0
306.0,0.0
307.0,0.1
308.0,0.8
309.0,0.1
310.0,0.3
311.0,0.1
312.0,0.0
313.0,0.6
314.0,0.1
315.0,0.1
316.0,0.7
317.0,0.1
318.0,0.2
319.0,0.6
320.0,0.8
321.0,0.2
322.0,0.0
323.0,0.1
324.0,0.1
325.0,0.8
326.0,0.6
327.0,0.3
328.0,0.0
329.0,0.0
330.0,0.1
331.0,0.1
332.0,0.8
333.0,0.2
334.0,0.2
335.0,0.4
336.0,0.6
337.0,0.0
338.0,0.0
339.0,0.3
340.0,0.7
341.0,0.2
342.0,0.2
343.0,0.0
344.0,0.0
345.0,0.6
346.0,0.2
347.0,0.1
348.0,0.7
349.0,0.2
350.0,0.1
351.0,0.1
352.0,0.6
353.0,0.4
354.0,0.3
355.0,0.5
356.0,0.5
357.0,0.9
358.0,0.3
359.0,0.0
360.0,0.0
361.0,0.0
362.0,0.4
363.0,0.3
364.0,0.9
365.0,0.0
366.0,0.2
367.0,0.0
368.0,0.6
369.0,0.2
370.0,0.4
371.0,0.2
372.0,0.8
373.0,0.1
374.0,0.1
375.0,0.0
376.0,0.0
377.0,0.7
378.0,0.2
379.0,0.1
380.0,0.8
381.0,0.1
382.0,0.0
383.0,0.5
384.0,0.6
385.0,0.1
386.0,0.1
387.0,0.1
388.0,0.2
389.0,0.8
390.0,0.0
391.0,0.0
392.0,0.0
393.0,0.1
394.0,0.2
395.0,0.3
396.0,0.6
397.0,0.1
398.0,0.1
399.0,0.0
400.0,0.6
401.0,0.2
402.0,0.1
403.0,0.3
404.0,0.7
405.0,0.0
406.0,0.1
407.0,0.0
408.0,0.1
409.0,0.7
410.0,0.6
411.0,0.4
412.0,0.9
413.0,0.0
414.0,0.0
415.0,0.1
416.0,0.7
417.0,0.5
418.0,0.3
419.0,0.2
420.0,0.1
421.0,0.7
422.0,0.0
423.0,0.0
424.0,0.1
425.0,0.5
426.0,0.4
427.0,0.0
428.0,0.7
429.0,0.0
430.0,0.1
431.0,0.0
432.0,0.8
433.0,0.1
434.0,0.2
435.0,0.2
436.0,0.6
437.0,0.0
438.0,0.1
439.0,0.0
440.0,0.2
441.0,0.7
442.0,0.3
443.0,0.3
444.0,1.0
445.0,0.0
446.0,0.4
447.0,0.6
448.0,0.9
449.0,0.1
450.0,0.2
451.0,0.1
452.0,0.0
453.0,1.1
454.0,0.0
455.0,0.1
456.0,0.1
457.0,0.1
458.0,0.3
459.0,0.3
460.0,0.8
461.0,0.0
462.0,0.1
463.0,0.1
464.0,0.8
465.0,0.2
466.0,0.1
467.0,0.1
468.0,0.6
469.0,0.0
470.0,0.1
471.0,0.2
472.0,0.1
473.0,1.0
474.0,0.4
475.0,0.0
476.0,0.6
477.0,0.0
478.0,0.1
479.0,0.2
480.0,0.7
481.0,0.2
482.0,0.1
483.0,0.0
484.0,0.0
485.0,0.7
486.0,0.1
487.0,0.1
488.0,0.1
489.0,0.2
490.0,0.2
491.0,0.0
492.0,0.6
493.0,0.0
494.0,0.2
495.0,0.2
496.0,0.8
497.0,0.1
498.0,0.0
499.0,0.1
500.0,1.0
501.0,0.2
502.0,0.5
503.0,0.1
504.0,0.2
505.0,0.7
506.0,0.1
507.0,0.4
508.0,0.8
509.0,0.1
510.0,0.1
511.0,0.2
512.0,0.8
513.0,0.1
514.0,0.0
515.0,0.0
516.0,0.4
517.0,0.8
518.0,0.1
519.0,0.1
520.0,0.2
521.0,0.1
522.0,0.1
523.0,0.0
524.0,0.6
525.0,0.1
526.0,0.2
527.0,0.3
528.0,0.6
529.0,0.1
530.0,0.0
531.0,0.1
532.0,0.6
533.0,0.2
534.0,0.6
535.0,0.4
536.0,0.5
537.0,1.0
538.0,0.1
539.0,0.2
540.0,0.7
541.0,0.1
542.0,0.1
543.0,0.5
544.0,0.9
545.0,0.0
546.0,0.0
547.0,0.0
548.0,0.1
549.0,0.8
550.0,0.3
551.0,0.4
552.0,0.1
553.0,0.0
554.0,0.1
555.0,0.0
556.0,0.7
557.0,0.1
558.0,0.4
559.0,0.0
560.0,0.7
561.0,0.0
562.0,0.0
563.0,0.1
564.0,1.2
565.0,0.1
566.0,0.3
567.0,0.1
568.0,0.0
569.0,0.6
570.0,0.1
571.0,0.1
572.0,0.7
573.0,0.1
574.0,0.2
575.0,0.2
576.0,0.6
577.0,0.0
578.0,0.0
579.0,0.1
580.0,0.1
581.0,0.8
582.0,0.2
583.0,0.1
584.0,0.0
585.0,0.0
586.0,0.1
587.0,0.1
588.0,0.7
589.0,0.3
590.0,0.1
591.0,0.5
592.0,0.8
593.0,0.2
594.0,0.0
595.0,0.3
596.0,0.7
597.0,0.2
598.0,0.6
599.0,0.2
600.0,0.0
601.0,0.6
602.0,0.1
603.0,0.2
604.0,0.7
605.0,0.2
606.0,0.5
607.0,0.1
608.0,0.6
609.0,0.0
610.0,0.1
611.0,0.1
612.0,0.1
613.0,0.9
614.0,0.1
615.0,0.0
616.0,0.0
617.0,0.0
618.0,0.2
619.0,0.1
620.0,0.7
621.0,0.2
622.0,0.2
623.0,0.0
624.0,0.8
625.0,0.4
626.0,0.1
627.0,0.7
628.0,1.2
629.0,0.3
630.0,0.1
631.0,0.0
632.0,0.0
633.0,0.6
634.0,0.7
635.0,0.1
636.0,0.8
637.0,0.1
638.0,0.0
639.0,0.1
640.0,0.6
641.0,0.5
642.0,0.1
643.0,0.1
644.0,0.2
645.0,0.8
646.0,0.0
647.0,0.0
648.0,0.0
649.0,0.1
650.0,0.2
651.0,0.1
652.0,0.8
653.0,0.1
654.0,0.3
655.0,0.2
656.0,0.6
657.0,0.1
658.0,0.2
659.0,0.3
660.0,0.7
661.0,0.0
662.0,0.1
663.0,0.0
664.0,0.0
665.0,0.8
666.0,0.2
667.0,0.2
668.0,0.7
669.0,0.0
670.0,0.0
671.0,0.1
672.0,0.7
673.0,0.1
674.0,0.1
675.0,0.2
676.0,0.1
677.0,0.7
678.0,0.0
679.0,0.0
680.0,0.1
681.0,0.1
682.0,0.8
683.0,0.4
684.0,0.7
685.0,0.0
686.0,0.1
687.0,0.0
688.0,1.1
689.0,0.4
690.0,0.2
691.0,0.1
692.0,0.7
693.0,0.0
694.0,0.1
695.0,0.0
696.0,0.2
697.0,1.1
698.0,0.3
699.0,0.1
700.0,0.6
701.0,0.0
702.0,0.0
703.0,0.2
704.0,0.7
705.0,0.1
706.0,0.2
707.0,0.1
708.0,0.0
709.0,0.7
710.0,0.0
711.0,0.1
712.0,0.1
713.0,0.1
714.0,0.3
715.0,0.5
716.0,0.8
717.0,0.4
718.0,0.5
719.0,0.1
720.0,0.9
721.0,0.3
722.0,0.0
723.0,0.2
724.0,0.8
725.0,0.2
726.0,0.1
727.0,0.2
728.0,0.1
729.0,0.8
730.0,0.2
731.0,0.2
732.0,0.8
733.0,0.0
734.0,0.1
735.0,0.2
736.0,0.7
737.0,0.2
738.0,0.1
739.0,0.0
740.0,0.0
741.0,0.7
742.0,0.1
743.0,0.1
744.0,0.1
745.0,0.4
746.0,0.4
747.0,0.0
748.0,0.6
749.0,0.0
750.0,0.2
751.0,0.1
752.0,0.9
753.0,0.0
754.0,0.1
755.0,0.1
756.0,0.6
757.0,0.0
758.0,0.3
759.0,0.1
760.0,0.2
761.0,0.7
762.0,0.1
763.0,0.0
764.0,0.6
765.0,0.0
766.0,0.2
767.0,0.2
768.0,0.8
769.0,0.1
770.0,0.0
771.0,0.0
772.0,0.4
773.0,1.0
774.0,0.3
775.0,0.1
776.0,0.2
777.0,0.1
778.0,0.1
779.0,0.4
780.0,0.8
781.0,0.1
782.0,0.2
783.0,0.1
784.0,0.8
785.0,0.1
786.0,0.0
787.0,0.5
788.0,0.6
789.0,0.1
790.0,0.3
791.0,0.2
792.0,0.1
793.0,0.6
794.0,0.1
795.0,0.0
796.0,0.6
797.0,0.2
798.0,0.1
799.0,0.3
800.0,0.7
801.0,0.0
802.0,0.0
803.0,0.0
804.0,0.1
805.0,1.0
806.0,0.5
807.0,0.2
808.0,0.5
809.0,0.4
810.0,0.3
811.0,0.0
812.0,0.7
813.0,0.1
814.0,0.2
815.0,0.4
816.0,0.9
817.0,0.0
818.0,0.0
819.0,0.1
820.0,0.7
821.0,0.2
822.0,0.7
823.0,0.1
824.0,0.0
825.0,0.6
826.0,0.1
827.0,0.0
828.0,0.8
829.0,0.1
830.0,0.2
831.0,0.2
832.0,0.6
833.0,0.0
834.0,0.0
835.0,0.3
836.0,0.3
837.0,0.8
838.0,0.2
839.0,0.1
840.0,0.0
841.0,0.0
842.0,0.1
843.0,0.1
844.0,0.7
845.0,0.1
846.0,0.3
847.0,0.1
848.0,0.6
849.0,0.0
850.0,0.0
851.0,0.2
852.0,0.8
853.0,0.2
854.0,0.1
855.0,0.1
856.0,0.0
857.0,0.6
858.0,0.1
859.0,0.2
860.0,0.7
861.0,0.2
862.0,0.1
863.0,0.7
864.0,0.6
865.0,0.2
866.0,0.1
867.0,0.1
868.0,0.1
869.0,0.9
870.0,0.7
871.0,0.0
872.0,0.0
873.0,0.0
874.0,0.2
875.0,0.1
876.0,0.7
