time,reno_packet_loss2
0.0,0.0
1.0,1.2
2.0,0.3
3.0,0.0
4.0,0.4
5.0,0.4
6.0,0.1
7.0,0.0
8.0,0.0
9.0,0.9
10.0,0.1
11.0,0.0
12.0,0.8
13.0,0.1
14.0,0.0
15.0,0.0
16.0,0.9
17.0,0.0
18.0,0.1
19.0,0.0
20.0,0.8
21.0,0.1
22.0,0.1
23.0,0.0
24.0,0.8
25.0,0.1
26.0,0.0
27.0,0.0
28.0,0.9
29.0,0.1
30.0,0.0
31.0,0.2
32.0,0.6
33.0,0.1
34.0,0.1
35.0,0.8
36.0,0.0
37.0,0.1
38.0,0.0
39.0,0.9
40.0,0.1
41.0,0.0
42.0,0.0
43.0,0.8
44.0,0.1
45.0,0.1
46.0,0.0
47.0,0.8
48.0,0.1
49.0,0.0
50.0,0.0
51.0,0.9
52.0,0.1
53.0,0.0
54.0,0.0
55.0,0.8
56.0,0.1
57.0,0.1
58.0,0.8
59.0,0.0
60.0,0.1
61.0,0.0
62.0,0.8
63.0,0.2
64.0,0.0
65.0,0.0
66.0,0.8
67.0,0.1
68.0,0.0
69.0,0.1
70.0,0.8
71.0,0.1
72.0,0.0
73.0,0.0
74.0,0.8
75.0,0.2
76.0,0.0
77.0,0.0
78.0,0.8
79.0,0.1
80.0,0.0
81.0,0.9
82.0,0.0
83.0,0.1
84.0,0.0
85.0,0.8
86.0,0.1
87.0,0.1
88.0,0.0
89.0,0.8
90.0,0.1
91.0,0.0
92.0,0.0
93.0,0.9
94.0,0.1
95.0,0.0
96.0,0.0
97.0,0.8
98.0,0.1
99.0,0.1
100.0,0.0
101.0,0.8
102.0,0.1
103.0,0.0
104.0,0.6
105.0,0.3
106.0,0.1
107.0,0.0
108.0,0.8
109.0,0.1
110.0,0.0
111.0,0.1
112.0,0.8
113.0,0.1
114.0,0.0
115.0,0.0
116.0,0.8
117.0,0.2
118.0,0.0
119.0,0.0
120.0,0.8
121.0,0.1
122.0,0.0
123.0,0.1
124.0,0.8
125.0,0.1
126.0,0.0
127.0,0.6
128.0,0.2
129.0,0.2
130.0,0.0
131.0,0.8
132.0,0.0
133.0,0.1
134.0,0.0
135.0,0.9
136.0,0.1
137.0,0.0
138.0,0.0
139.0,0.8
140.0,0.1
141.0,0.1
142.0,0.0
143.0,0.8
144.0,0.1
145.0,0.0
146.0,0.0
147.0,0.9
148.0,0.1
149.0,0.0
150.0,0.4
151.0,0.4
152.0,0.1
153.0,0.1
154.0,0.6
155.0,0.2
156.0,0.1
157.0,0.0
158.0,0.8
159.0,0.2
160.0,0.0
161.0,0.0
162.0,0.8
163.0,0.1
164.0,0.0
165.0,0.1
166.0,0.8
167.0,0.1
168.0,0.0
169.0,0.0
170.0,0.8
171.0,0.2
172.0,0.0
173.0,0.0
174.0,0.8
175.0,0.1
176.0,0.0
177.0,0.7
178.0,0.2
179.0,0.1
180.0,0.0
181.0,0.8
182.0,0.0
183.0,0.2
184.0,0.0
185.0,0.8
186.0,0.1
187.0,0.0
188.0,0.0
189.0,0.9
190.0,0.1
191.0,0.0
192.0,0.0
193.0,0.8
194.0,0.1
195.0,0.1
196.0,0.0
197.0,0.8
198.0,0.1
199.0,0.0
200.0,0.4
201.0,0.5
202.0,0.1
203.0,0.0
204.0,0.8
205.0,0.0
206.0,0.1
207.0,0.1
208.0,0.8
209.0,0.1
210.0,0.0
211.0,0.0
212.0,0.8
213.0,0.2
214.0,0.0
215.0,0.0
216.0,0.8
217.0,0.1
218.0,0.0
219.0,0.1
220.0,0.8
221.0,0.1
222.0,0.0
223.0,0.0
224.0,0.8
225.0,0.2
226.0,0.0
227.0,0.8
228.0,0.0
229.0,0.1
230.0,0.0
231.0,0.9
232.0,0.0
233.0,0.1
234.0,0.0
235.0,0.8
236.0,0.1
237.0,0.1
238.0,0.0
239.0,0.8
240.0,0.1
241.0,0.0
242.0,0.0
243.0,0.9
244.0,0.1
245.0,0.0
246.0,0.0
247.0,0.8
248.0,0.1
249.0,0.1
250.0,0.6
251.0,0.2
252.0,0.1
253.0,0.0
254.0,0.8
255.0,0.1
256.0,0.1
257.0,0.0
258.0,0.8
259.0,0.1
260.0,0.0
261.0,0.1
262.0,0.8
263.0,0.1
264.0,0.0
265.0,0.0
266.0,0.8
267.0,0.2
268.0,0.0
