time,vegas_cwnd1
0.0,1.0
1.0,3.0
2.0,2.625
3.0,2.625
4.0,2.625
5.0,2.625
6.0,2.625
7.0,2.625
8.0,2.625
9.0,2.625
10.0,2.625
11.0,2.625
12.0,2.625
13.0,2.625
14.0,2.625
15.0,2.625
16.0,2.625
17.0,2.625
18.0,2.625
19.0,2.625
20.0,2.625
21.0,2.625
22.0,2.625
23.0,2.625
24.0,2.625
25.0,2.625
26.0,2.625
27.0,2.625
28.0,2.625
29.0,2.625
30.0,2.625
31.0,2.625
32.0,2.625
33.0,2.625
34.0,2.625
35.0,2.625
36.0,2.625
37.0,2.625
38.0,2.625
39.0,2.625
40.0,2.625
41.0,2.625
42.0,2.625
43.0,2.625
44.0,2.625
45.0,2.625
46.0,2.625
47.0,2.625
48.0,2.625
49.0,2.625
50.0,2.625
51.0,2.625
52.0,2.625
53.0,2.625
54.0,2.625
55.0,2.625
56.0,2.625
57.0,2.625
58.0,2.625
59.0,2.625
60.0,2.625
61.0,2.625
62.0,2.625
63.0,2.625
64.0,2.625
65.0,2.625
66.0,2.625
67.0,2.625
68.0,2.625
69.0,2.625
70.0,2.625
71.0,2.625
72.0,2.625
73.0,2.625
74.0,2.625
75.0,2.625
76.0,2.625
77.0,2.625
78.0,2.625
79.0,2.625
80.0,2.625
81.0,2.625
82.0,2.625
83.0,2.625
84.0,2.625
85.0,2.625
86.0,2.625
87.0,2.625
88.0,2.625
89.0,2.625
90.0,2.625
91.0,2.625
92.0,2.625
93.0,2.625
94.0,2.625
95.0,2.625
96.0,2.625
97.0,2.625
98.0,2.625
99.0,2.625
100.0,2.625
101.0,2.625
102.0,2.625
103.0,2.625
104.0,2.625
105.0,2.625
106.0,2.625
107.0,2.625
108.0,2.625
109.0,2.625
110.0,2.625
111.0,2.625
112.0,2.625
113.0,2.625
114.0,2.625
115.0,2.625
116.0,2.625
117.0,2.625
118.0,2.625
119.0,2.625
120.0,2.625
121.0,2.625
122.0,2.625
123.0,2.625
124.0,2.625
125.0,2.625
126.0,2.625
127.0,2.625
128.0,2.625
129.0,2.625
130.0,2.625
131.0,2.625
132.0,2.625
133.0,2.625
134.0,2.625
135.0,2.625
136.0,2.625
137.0,2.625
138.0,2.625
139.0,2.625
140.0,2.625
141.0,2.625
142.0,2.625
143.0,2.625
144.0,2.625
145.0,2.625
146.0,2.625
147.0,2.625
148.0,2.625
149.0,2.625
150.0,2.625
151.0,2.625
152.0,2.625
153.0,2.625
154.0,2.625
155.0,2.625
156.0,2.625
157.0,2.625
158.0,2.625
159.0,2.625
160.0,2.625
161.0,2.625
162.0,2.625
163.0,2.625
164.0,2.625
165.0,2.625
166.0,2.625
167.0,2.625
168.0,2.625
169.0,2.625
170.0,2.625
171.0,2.625
172.0,2.625
173.0,2.625
174.0,2.625
175.0,2.625
176.0,2.625
177.0,2.625
178.0,2.625
179.0,2.625
180.0,2.625
181.0,2.625
182.0,2.625
183.0,2.625
184.0,2.625
185.0,2.625
186.0,2.625
187.0,2.625
188.0,2.625
189.0,2.625
190.0,2.625
191.0,2.625
192.0,2.625
193.0,2.625
194.0,2.625
195.0,2.625
196.0,2.625
197.0,2.625
198.0,2.625
199.0,2.625
200.0,2.625
201.0,2.625
202.0,2.625
203.0,2.625
204.0,2.625
205.0,2.625
206.0,2.625
207.0,2.625
208.0,2.625
209.0,2.625
210.0,2.625
211.0,2.625
212.0,2.625
213.0,2.625
214.0,2.625
215.0,2.625
216.0,2.625
217.0,2.625
218.0,2.625
219.0,2.625
220.0,2.625
221.0,2.625
222.0,2.625
223.0,2.625
224.0,2.625
225.0,2.625
226.0,2.625
227.0,2.625
228.0,2.625
229.0,2.625
230.0,2.625
231.0,2.625
232.0,2.625
233.0,2.625
234.0,2.625
235.0,2.625
236.0,2.625
237.0,2.625
238.0,2.625
239.0,2.625
240.0,2.625
241.0,2.625
242.0,2.625
243.0,2.625
244.0,2.625
245.0,2.625
246.0,2.625
247.0,2.625
248.0,2.625
249.0,2.625
250.0,2.625
251.0,2.625
252.0,2.625
253.0,2.625
254.0,2.625
255.0,2.625
256.0,2.625
257.0,2.625
258.0,2.625
259.0,2.625
260.0,2.625
261.0,2.625
262.0,2.625
263.0,2.625
264.0,2.625
265.0,2.625
266.0,2.625
267.0,2.625
268.0,2.625
269.0,2.625
270.0,2.625
271.0,2.625
272.0,2.625
273.0,2.625
274.0,2.625
275.0,2.625
276.0,2.625
277.0,2.625
278.0,2.625
279.0,2.625
280.0,2.625
281.0,2.625
282.0,2.625
283.0,2.625
284.0,2.625
285.0,2.625
286.0,2.625
287.0,2.625
288.0,2.625
289.0,2.625
290.0,2.625
291.0,2.625
292.0,2.625
293.0,2.625
294.0,2.625
295.0,2.625
296.0,2.625
297.0,2.625
298.0,2.625
299.0,2.625
300.0,2.625
301.0,2.625
302.0,2.625
303.0,2.625
304.0,2.625
305.0,2.625
306.0,2.625
307.0,2.625
308.0,2.625
309.0,2.625
310.0,2.625
311.0,2.625
312.0,2.625
313.0,2.625
314.0,2.625
315.0,2.625
316.0,2.625
317.0,2.625
318.0,2.625
319.0,2.625
320.0,2.625
321.0,2.625
322.0,2.625
323.0,2.625
324.0,2.625
325.0,2.625
326.0,2.625
327.0,2.625
328.0,2.625
329.0,2.625
330.0,2.625
331.0,2.625
332.0,2.625
333.0,2.625
334.0,2.625
335.0,2.625
336.0,2.625
337.0,2.625
338.0,2.625
339.0,2.625
340.0,2.625
